epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,235.879,1.09299,1.00324,1.18571,0.78872,0.72648,0.80624,0.63218,0.88767,0.71418,1.01393,8.71913e-05,8.71913e-05,8.71913e-05
29,244.536,1.03562,0.99611,1.18564,0.76685,0.76545,0.81123,0.63744,0.87677,0.69108,1.00706,8.60132e-05,8.60132e-05,8.60132e-05
30,253.071,1.00309,0.96549,1.13436,0.77472,0.76572,0.80905,0.64246,0.87384,0.67846,1.00584,8.48351e-05,8.48351e-05,8.48351e-05
31,261.641,1.04416,0.97054,1.17824,0.79345,0.74734,0.81144,0.63969,0.86634,0.67651,1.00368,8.3657e-05,8.3657e-05,8.3657e-05
32,270.015,0.92398,0.94645,1.13733,0.80665,0.74381,0.81197,0.64014,0.87034,0.68401,1.00513,8.24789e-05,8.24789e-05,8.24789e-05
33,278.55,1.03597,0.95379,1.16788,0.78527,0.756,0.81422,0.64138,0.86399,0.67885,1.00387,8.13008e-05,8.13008e-05,8.13008e-05
34,287.223,0.9925,0.92687,1.16114,0.80014,0.75533,0.81681,0.64245,0.85381,0.67923,1.00289,8.01227e-05,8.01227e-05,8.01227e-05
35,295.668,0.98772,0.91324,1.11855,0.86361,0.71187,0.82219,0.64854,0.84437,0.67634,0.99898,7.89446e-05,7.89446e-05,7.89446e-05
36,304.107,0.99905,1.06728,1.17071,0.85186,0.70734,0.82671,0.64696,0.84955,0.68521,0.99981,7.77665e-05,7.77665e-05,7.77665e-05
37,312.603,0.96405,0.92244,1.13408,0.81905,0.74178,0.82125,0.65327,0.84639,0.67943,0.99877,7.65884e-05,7.65884e-05,7.65884e-05
38,321.101,0.97378,0.90561,1.13715,0.85228,0.72236,0.83111,0.65393,0.84299,0.66392,0.99579,7.54103e-05,7.54103e-05,7.54103e-05
39,329.979,1.01447,0.9289,1.15406,0.85626,0.72322,0.83169,0.65154,0.84082,0.65375,0.99284,7.42322e-05,7.42322e-05,7.42322e-05
